#OTU ID,ZD01,ZD02,ZD03,ZD04,ZG01,ZG02,ZG03,ZG04,ZP01,ZP02,ZP03,ZP04,ZS01,ZS02,ZS03,ZS04,ZW01,ZW02,ZW03,ZW04,Consensus Lineage
Otu801,279,89,137,84,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu5,19,20,65,14,86,357,486,169,2,0,7,5,2,1,2,6,679,308,348,156,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_subcucurbitae
Otu21,323,263,1300,336,2,1,2,2,0,0,0,0,0,0,0,0,111,38,36,58,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium_melanogenum
Otu2,16,9,52,15,0,3,3,0,0,0,1,1,0,0,0,0,30,12,15,14,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__unidentified; s__unidentified
Otu204,22,12,40,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Sporormia; s__unidentified
Otu28,57,102,181,121,0,0,0,0,0,0,0,0,0,0,0,0,662,656,284,714,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu107,82,99,401,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__unidentified; s__unidentified
Otu25,25,23,69,33,0,1,0,0,0,0,0,0,0,0,0,0,50,58,39,40,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_chlamydosporigena
Otu105,84,89,264,155,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,4,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu88,207,255,808,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Phaeosclera; s__unidentified
Otu100,166,688,792,258,0,0,0,0,0,0,0,0,0,0,2,0,56,23,33,45,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Tubeufiales; f__unidentified; g__unidentified; s__unidentified
Otu1159,16,34,107,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Rutstroemiaceae; g__unidentified; s__unidentified
Otu19,2310,3811,12201,4336,0,1,1,0,0,1,0,2,11,8,9,36,779,659,738,452,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu123,115,210,902,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Gloeophyllales; f__Gloeophyllaceae; g__Gloeophyllum; s__Gloeophyllum_sepiarium
Otu17,3,1,3,9,502,816,1414,664,1,5,4,22,6,2,2,7,255,79,81,92,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_betae-kenyensis
Otu8,1,1,4,0,19722,41313,75611,40909,1,3,13,3,1,0,2,3,7,3,3,2,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_infectoria
Otu154,12,44,230,35,0,0,0,0,0,9,4,1,0,1,1,1,11,18,23,16,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta; s__unidentified
Otu1327,0,2,2,1,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu1462,46,113,396,166,0,0,0,1,0,0,1,1,0,1,1,3,8,17,20,3,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu48,394,334,3120,317,0,0,0,0,0,0,0,0,0,0,0,0,1080,440,404,410,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu54,237,182,832,298,0,0,0,0,0,1,0,0,0,1,2,3,1,0,0,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__unidentified
Otu1079,5,0,0,2,26,2,23,9,0,0,0,0,0,0,0,0,6,0,1,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__Helotiales; f__Rutstroemiaceae; g__unidentified; s__unidentified
Otu497,4,5,28,2,2,0,0,0,0,0,0,0,0,0,0,0,9,1,5,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Leptosphaeriaceae; g__Coniothyrium; s__Coniothyrium_prosopidis
Otu14,2,0,1,0,55,191,320,182,0,0,0,0,0,0,0,0,0,1,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Bulleribasidiaceae; g__Vishniacozyma; s__Vishniacozyma_victoriae
Otu55,424,606,1866,528,0,0,1,0,0,0,1,0,0,0,0,0,54,13,26,15,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeococcomyces; s__Phaeococcomyces_eucalypti
Otu78,0,0,1,0,33,96,235,145,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_stepposum
Otu394,13,25,55,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__unidentified; s__unidentified
Otu740,133,97,304,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__unidentified
Otu811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_rabiei
Otu97,26,59,193,63,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu321,19,5,33,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__unidentified; s__unidentified
Otu111,133,133,436,139,0,0,0,0,0,0,0,0,1,0,0,0,17,4,3,2,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1111,18,4,3,3,0,1,0,0,25,8,23,11,33,10,9,26,93,1,0,2,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellales_fam_Incertae_sedis; g__Kwoniella; s__Kwoniella_botswanensis
Otu210,16,17,41,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__unidentified; s__unidentified
Otu1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu482,1,1,1,2,4,0,1,3,0,0,0,0,0,0,0,0,105,110,108,117,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu575,326,322,2117,356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu128,38,47,117,39,0,0,4,0,0,0,0,0,0,0,0,0,20,16,33,69,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__unidentified
Otu546,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu313,13,5,43,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ochrocladosporium; s__Ochrocladosporium_adansoniae
Otu310,16,5,24,31,0,0,0,0,0,0,0,0,0,0,0,0,34,49,36,54,k__Fungi; p__Ascomycota; c__Lecanoromycetes; o__Lecanoromycetes_ord_Incertae_sedis; f__Lecanoromycetes_fam_Incertae_sedis; g__Pycnora; s__Pycnora_xanthococca
Otu1,0,0,1,0,1,0,1,3,162,264,239,236,94,43,77,263,0,0,0,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolales_fam_Incertae_sedis; g__Rhodotorula; s__Rhodotorula_nothofagi
Otu220,3,8,14,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu1132,17,11,44,15,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,7,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Phaeosclera; s__unidentified
Otu168,51,48,116,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__unidentified; g__unidentified; s__unidentified
Otu6,1,1,1,1,6089,11143,22589,11753,6,15,19,7,10,8,11,26,137,50,5,15,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Mycosphaerellaceae; g__Mycosphaerella; s__Mycosphaerella_tassiana
Otu1099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_rabiei
Otu1068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_herbicola
Otu843,67,82,195,61,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__unidentified; s__unidentified
Otu286,1,0,0,1,0,2,4,4,0,0,0,0,0,0,0,0,4,1,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__Alternaria; s__Alternaria_aspera
Otu12,0,0,1,0,0,1,0,1,0,2,4,0,15,9,19,10,75,81,62,66,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu46,479,2733,8490,2152,0,0,0,0,0,0,0,1,0,1,0,3,165,1009,681,416,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu508,2,1,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Sporormiaceae; g__Preussia; s__Preussia_terricola
Otu22,0,0,0,0,0,1,0,0,1077,3838,5970,4444,569,1255,1513,3014,6,25,23,33,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__unidentified; g__unidentified; s__unidentified
Otu1157,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Ascochyta; s__Ascochyta_herbicola
Otu422,0,0,0,0,3,3,9,4,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Kondoaceae; g__Kondoa; s__Kondoa_aeria
Otu59,0,0,0,0,4,35,47,15,0,0,0,1,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__unidentified; s__unidentified
Otu1445,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__Coniochaeta; s__unidentified
Otu955,0,0,2,1,2,8,9,9,0,0,0,0,0,0,0,0,5,0,3,2,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__unidentified
Otu672,4,3,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Pezizomycotina_cls_Incertae_sedis; o__Pezizomycotina_ord_Incertae_sedis; f__Pezizomycotina_fam_Incertae_sedis; g__Knufia; s__unidentified
Otu1491,0,0,0,0,0,0,0,0,2,4,31,1,9,4,4,9,2,1,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideaceae; g__Endoconidioma; s__Endoconidioma_populi
Otu1193,0,1,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeococcomyces; s__Phaeococcomyces_nigricans
Otu1268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Didymella; s__Didymella_rumicicola
Otu1061,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Capronia; s__unidentified
Otu144,21,26,52,25,0,0,0,0,0,0,0,0,0,0,0,0,10,6,10,8,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu45,0,0,1,0,1542,2023,4637,2663,1,0,1,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Diademaceae; g__Comoclathris; s__Comoclathris_spartii
Otu367,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,13,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu182,7,10,35,5,0,0,0,0,0,6,3,0,3,0,4,4,0,0,0,1,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Coniochaetales; f__Coniochaetaceae; g__unidentified; s__unidentified
Otu1443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Didymellaceae; g__Nothophoma; s__Nothophoma_anigozanthi
Otu3,0,0,0,0,20,69,114,64,5,32,45,23,20,23,33,48,2416,1894,1049,1913,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium_pullulans
Otu240,0,0,0,0,15,34,100,41,1,0,0,0,0,0,0,0,0,0,1,2,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu32,0,0,0,0,83,143,359,127,0,0,0,0,0,0,0,0,3,5,10,2,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideomycetes_ord_Incertae_sedis; f__Dothideomycetes_fam_Incertae_sedis; g__Septoriella; s__Septoriella_hirta
Otu65,0,0,0,0,0,0,0,0,47,77,80,61,13,10,9,52,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu11,0,0,0,0,0,0,1,0,28,28,53,59,70,33,65,143,19,15,17,23,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Cystofilobasidiales; f__unidentified; g__unidentified; s__unidentified
Otu332,0,0,0,0,10,29,54,33,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricostilbomycetes; o__Agaricostilbales; f__Kondoaceae; g__Kondoa; s__Kondoa_malvinella
Otu205,3,3,8,2,6,18,27,13,0,1,0,0,1,0,0,1,132,76,46,59,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium_pullulans
Otu549,5,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,4,4,10,4,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Amylocorticiales; f__Amylocorticiaceae; g__Plicaturopsis; s__Plicaturopsis_crispa
Otu194,22,9,50,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu720,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Polyporales; f__Polyporaceae; g__Perenniporia; s__unidentified
Otu1290,0,0,2,0,13,49,61,44,0,0,0,0,0,0,0,0,1,2,1,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_magnum
Otu218,22,42,139,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporales_fam_Incertae_sedis; g__Phoma; s__unidentified
Otu291,3,15,21,7,0,0,0,0,5,11,2,1,0,0,0,3,0,2,2,2,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu349,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Sordariaceae; g__unidentified; s__unidentified
Otu208,8,4,31,6,0,0,0,0,12,15,26,20,11,14,15,40,5,2,5,5,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu1278,3,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__unidentified; s__unidentified
Otu540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi; p__Basidiomycota; c__Microbotryomycetes; o__Sporidiobolales; f__Sporidiobolales_fam_Incertae_sedis; g__Rhodotorula; s__Rhodotorula_kratochvilovae
Otu255,16,11,27,9,1,4,59,7,2,6,12,4,1,0,17,4,23,6,20,55,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Montagnulaceae; g__Paraconiothyrium; s__Paraconiothyrium_brasiliense
Otu826,1,0,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Filobasidiales; f__Filobasidiaceae; g__Filobasidium; s__Filobasidium_stepposum
Otu1016,0,0,0,0,4,1,6,2,2,0,0,0,2,0,0,5,2,1,3,1,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothioraceae; g__Aureobasidium; s__Aureobasidium_pullulans
Otu389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__Cryptococcus; s__Cryptococcus_albidus
Otu1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__unidentified; g__unidentified; s__unidentified
Otu351,6,5,20,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Trimorphomycetaceae; g__Saitozyma; s__Saitozyma_paraflava
Otu4,0,0,2,1,1,6,5,2,7,27,55,140,86,78,82,227,26,14,6,38,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Phaeosphaeriaceae; g__Neostagonospora; s__Neostagonospora_caricis
Otu246,5,14,44,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__unidentified; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu486,2,6,18,12,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,k__Fungi; p__Basidiomycota; c__Tremellomycetes; o__Tremellales; f__Tremellaceae; g__unidentified; s__unidentified
Otu139,33,24,101,29,0,0,0,0,1,0,0,0,0,0,0,0,26,31,33,64,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeococcomyces; s__Phaeococcomyces_mexicanus
Otu137,59,58,232,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,k__Fungi; p__Ascomycota; c__unidentified; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu162,7,35,75,29,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,2,k__Fungi; p__Ascomycota; c__Sordariomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu89,0,0,0,0,0,0,0,0,315,248,586,190,109,24,41,86,0,0,0,0,k__Fungi; p__Ascomycota; c__Leotiomycetes; o__unidentified; f__unidentified; g__unidentified; s__unidentified
Otu91,10,11,10,5,0,0,0,0,1,6,9,0,3,5,7,15,606,207,325,250,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Pleosporaceae; g__unidentified; s__unidentified
Otu293,14,27,83,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Xylonomycetes; o__Symbiotaphrinales; f__Symbiotaphrinales_fam._Incertae_sedis; g__Symbiotaphrina; s__Symbiotaphrina_buchneri
Otu390,8,14,25,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__unidentified
Otu938,4,1,0,0,0,0,0,0,0,0,2,2,2,0,0,0,90,5,7,8,k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Dothideales; f__Dothideaceae; g__Endoconidioma; s__Endoconidioma_populi
Otu1336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Cladophialophora; s__unidentified
Otu301,2,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,k__Fungi; p__Basidiomycota; c__Cystobasidiomycetes; o__Cystobasidiales; f__Cystobasidiaceae; g__Cystobasidium; s__Cystobasidium_benthicum
Otu387,17,18,21,22,0,0,0,0,0,0,0,0,0,0,0,0,11,1,2,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Cantharellales; f__Ceratobasidiaceae; g__unidentified; s__unidentified
Otu692,6,8,34,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k__Fungi; p__Basidiomycota; c__Agaricomycetes; o__Corticiales; f__Corticiaceae; g__Corticium; s__Corticium_meridioroseum
Otu82,4,38,67,21,1,3,2,0,26,169,284,159,16,153,93,235,294,384,352,303,k__Fungi; p__Ascomycota; c__Eurotiomycetes; o__Chaetothyriales; f__Herpotrichiellaceae; g__Phaeococcomyces; s__Phaeococcomyces_nigricans
